Project,Dependency,DependencyJar,TotalOriginalClasses
lettuce-core,org.reactivestreams:reactive-streams:1.0.4,reactive-streams-1.0.4,13
lettuce-core,org.jetbrains.kotlinx:kotlinx-coroutines-reactive:1.5.2,kotlinx-coroutines-reactive-1.5.2,33
lettuce-core,org.jetbrains:annotations:13.0,annotations-13.0,32
lettuce-core,io.netty:netty-transport-classes-epoll:4.1.85.Final,netty-transport-classes-epoll-4.1.85.Final,66
mybatis-3,ognl:ognl:3.3.4,ognl-3.3.4,144
mybatis-3,org.javassist:javassist:3.29.2-GA,javassist-3.29.2-GA,426
mybatis-3,org.slf4j:slf4j-api:2.0.1,slf4j-api-2.0.1,52
mybatis-3,ch.qos.reload4j:reload4j:1.2.22,reload4j-1.2.22,217
mybatis-3,org.apache.logging.log4j:log4j-api:2.19.0,log4j-api-2.19.0,193
mybatis-3,commons-logging:commons-logging:1.2,commons-logging-1.2,28
mybatis-3,cglib:cglib:3.3.0,cglib-3.3.0,249
mybatis-3,org.ow2.asm:asm:7.1,asm-7.1,36
RxRelay,org.reactivestreams:reactive-streams:1.0.3,reactive-streams-1.0.3,13
RxRelay,io.reactivex.rxjava3:rxjava:3.0.3,rxjava-3.0.3,1745
woodstox,org.codehaus.woodstox:stax2-api:4.2.1,stax2-api-4.2.1,125
woodstox,net.java.dev.msv:msv-core:2013.6.1,msv-core-2013.6.1,524
woodstox,com.sun.xml.bind.jaxb:isorelax:20090621,isorelax-20090621,51
woodstox,net.java.dev.msv:xsdlib:2013.6.1,xsdlib-2013.6.1,148
woodstox,relaxngDatatype:relaxngDatatype:20020414,relaxngDatatype-20020414,16
graphhopper_core,com.graphhopper:graphhopper-web-api:6.0-SNAPSHOT,graphhopper-web-api-6.0-SNAPSHOT,76
graphhopper_core,com.google.protobuf:protobuf-java:3.11.4,protobuf-java-3.11.4,666
graphhopper_core,com.fasterxml.jackson.core:jackson-annotations:2.10.5,jackson-annotations-2.10.5,69
graphhopper_core,com.graphhopper.external:jackson-datatype-jts:0.12-2.5-1,jackson-datatype-jts-0.12-2.5-1,15
graphhopper_core,org.slf4j:slf4j-api:1.7.36,slf4j-api-1.7.36,34
graphhopper_core,com.fasterxml.jackson.core:jackson-databind:2.10.5.1,jackson-databind-2.10.5.1,656
graphhopper_core,org.openstreetmap.osmosis:osmosis-osm-binary:0.47.3,osmosis-osm-binary-0.47.3,79
graphhopper_core,org.codehaus.woodstox:stax2-api:4.2.1,stax2-api-4.2.1,125
graphhopper_core,org.codehaus.janino:commons-compiler:3.1.2,commons-compiler-3.1.2,136
graphhopper_core,org.codehaus.janino:janino:3.1.2,janino-3.1.2,464
graphhopper_core,com.fasterxml.jackson.core:jackson-core:2.10.5,jackson-core-2.10.5,118
graphhopper_core,com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.10.5,jackson-dataformat-xml-2.10.5,52
graphhopper_core,org.apache.xmlgraphics:xmlgraphics-commons:2.7,xmlgraphics-commons-2.7,375
graphhopper_core,com.carrotsearch:hppc:0.8.1,hppc-0.8.1,950
graphhopper_core,com.fasterxml.woodstox:woodstox-core:6.2.1,woodstox-core-6.2.1,943
graphhopper_core,com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.10.5,jackson-module-jaxb-annotations-2.10.5,13
graphhopper_core,commons-io:commons-io:2.7,commons-io-2.7,176
graphhopper_core,org.locationtech.jts:jts-core:1.15.1,jts-core-1.15.1,527
guice,javax.inject:javax.inject:1,javax.inject-1,6
guice,com.google.guava:failureaccess:1.0.1,failureaccess-1.0.1,2
guice,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,listenablefuture-9999.0-empty-to-avoid-conflict-with-guava,0
guice,aopalliance:aopalliance:1.0,aopalliance-1.0,9
guice,com.google.code.findbugs:jsr305:3.0.1,jsr305-3.0.1,35
guice,com.google.errorprone:error_prone_annotations:2.3.4,error_prone_annotations-2.3.4,22
guice,com.google.guava:guava:30.1-jre,guava-30.1-jre,2029
guice,org.ow2.asm:asm:9.2,asm-9.2,38
guice,org.checkerframework:checker-qual:3.5.0,checker-qual-3.5.0,321
guice,com.google.j2objc:j2objc-annotations:1.3,j2objc-annotations-1.3,12
pdfbox_pdfbox,org.apache.pdfbox:io:3.0.0-SNAPSHOT,io-3.0.0-SNAPSHOT,17
pdfbox_pdfbox,org.apache.pdfbox:fontbox:3.0.0-SNAPSHOT,fontbox-3.0.0-SNAPSHOT,178
pdfbox_pdfbox,commons-logging:commons-logging:1.2,commons-logging-1.2,28
pdfbox_pdfbox,org.bouncycastle:bcmail-jdk18on:1.72,bcmail-jdk18on-1.72,63
pdfbox_pdfbox,org.bouncycastle:bcutil-jdk18on:1.72,bcutil-jdk18on-1.72,583
pdfbox_pdfbox,org.bouncycastle:bcpkix-jdk18on:1.72,bcpkix-jdk18on-1.72,853
pdfbox_pdfbox,org.bouncycastle:bcprov-jdk18on:1.72,bcprov-jdk18on-1.72,5114
jacop,org.scala-lang:scala-compiler:2.13.1,scala-compiler-2.13.1,2984
jacop,org.fusesource.jansi:jansi:1.12,jansi-1.12,43
